MappingID,Domain,SourceTable,SourceField,TargetField,TransformationRule,ValidationRule,ErrorCode,BusinessContext
MAP-PC-004,Profit Centre,CEPC,KOKRS,profitCentre.controllingArea,Direct map,NOT NULL; exists in controlling-area master,ERR-VAL-003;ERR-VAL-004,Controlling area scopes the profit-centre namespace
MAP-PC-005,Profit Centre,CEPC/SETNODE/SETLEAF,KHINR+SETNODE+SETLEAF,profitCentre.hierarchyLevel1..7,Recursive SETNODE/SETLEAF walk root->leaf PRCTR into Level1..Level7; collapse >7 null-fill shallower,Leaf resolves to one root path; no cycles,ERR-MAP-003;ERR-VAL-004,Flattens hierarchy for segment roll-ups and drill-down
MAP-PC-006,Profit Centre,CEPC,DATAB+DATBI,profitCentre.validFrom,"FORMAT(DATAB,'YYYY-MM-DD'); FORMAT(DATBI,'YYYY-MM-DD')",validFrom <= validTo; DATBI default 9999-12-31,ERR-MAP-002;ERR-VAL-005,Time-dependent validity for point-in-time-correct joins
MAP-ML-001,Material Ledger,MBEW,MATNR+BWKEY,materialCost.materialCostId,"CONCAT(LTRIM(MATNR,'0'),'-',BWKEY)",NOT NULL; unique per material+valuation area,ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite key of the material-valuation record
MAP-ML-002,Material Ledger,MBEW,BWKEY,materialCost.valuationArea,Direct map; enrich plant->company code,NOT NULL; exists in plant master,ERR-VAL-004,Valuation area scopes the material cost; links to MC0x tenant
MAP-ML-003,Material Ledger,MBEW,VPRSV,materialCost.priceControl,MAP VPRSV S->STANDARD V->MOVING_AVERAGE,Must be S or V,ERR-VAL-003,Price-control indicator governs authoritative price
MAP-ML-004,Material Ledger,MBEW,STPRS+PEINH,materialCost.standardPriceUnit,"DECIMAL(STPRS/NULLIF(PEINH,0),2)",PEINH != 0; within amount range,ERR-MAP-006;ERR-VAL-002,Unit standard cost for planned-cost variance and valuation
MAP-ML-005,Material Ledger,MBEW,VERPR+PEINH,materialCost.movingAvgPriceUnit,"DECIMAL(VERPR/NULLIF(PEINH,0),2)",PEINH != 0; within amount range,ERR-MAP-006;ERR-VAL-002,Actual moving-average cost for actual-costing analytics
MAP-ML-006,Material Ledger,MBEW,SALK3+LBKUM,materialCost.totalStockValue,"DECIMAL(SALK3,2); DECIMAL(LBKUM,3)",Range checks; SALK3 sign-consistent,ERR-MAP-001;ERR-VAL-002,Total inventory value/quantity for balance-sheet inventory line
MAP-ML-007,Material Ledger,MBEW/COSP,SALK3+STPRS+LBKUM+PEINH+WKG001..016,materialCost.priceDifference,"priceDifference=SALK3-(LBKUM*STPRS/NULLIF(PEINH,0)); actualCost=SALK3+SUM(COSP price-diff cols)",PEINH != 0; components reconcile to SALK3 within tolerance,ERR-MAP-006;ERR-VAL-002,Price-difference allocation reconciles standard to actual cost (ML run)
MAP-PO-001,Purchase Orders,EKPO,EBELN+EBELP,purchaseOrder.poLineId,"CONCAT(LTRIM(EBELN,'0'),'-',LTRIM(EBELP,'0'))","NOT NULL; regex ^\d{1,10}-\d{1,5}$; unique",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite PO-line key; idempotency and procurement lineage
MAP-PO-002,Purchase Orders,EKKO,LIFNR,purchaseOrder.vendorId,"LTRIM(LIFNR,'0') then validate vendor master",Must exist in LFA1,ERR-MAP-001;ERR-VAL-004,Links PO to vendor dimension; spend-by-vendor analytics
MAP-PO-003,Purchase Orders,EKPO,MATNR,purchaseOrder.materialId,"LTRIM(MATNR,'0') then validate material master",Must exist (blank allowed for text POs),ERR-VAL-004,Links PO line to material; procurement-cost analysis
MAP-PO-004,Purchase Orders,EKPO,NETPR+PEINH,purchaseOrder.netPriceUnit,"netPriceUnit=DECIMAL(NETPR/NULLIF(PEINH,0),2); lineNetValue=netPriceUnit*MENGE",PEINH != 0; range checks,ERR-MAP-006;ERR-VAL-002,Pricing-condition net price per base unit and extended line value
MAP-PO-005,Purchase Orders,EKPO/EKET,MENGE+WEMNG,purchaseOrder.grirStatus,openGrQty=SUM(MENGE)-SUM(WEMNG); status FULLY_RECEIVED/NOT_RECEIVED/PARTIAL,WEMNG <= MENGE; qty >= 0,ERR-MAP-006;ERR-VAL-002,GR/IR reconciliation; detects unbilled receipts / undelivered POs
MAP-PO-006,Purchase Orders,EKET,EINDT,purchaseOrder.deliveryDate,"FORMAT(EINDT,'YYYY-MM-DD') earliest open schedule line",Valid date; >= AEDAT,ERR-MAP-002;ERR-VAL-005,Committed delivery date for OTD and supply-risk metrics
MAP-SO-001,Sales Orders,VBAP,VBELN+POSNR,salesOrder.soLineId,"CONCAT(LTRIM(VBELN,'0'),'-',LTRIM(POSNR,'0'))","NOT NULL; regex ^\d{1,10}-\d{1,6}$; unique",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite SO-line key; order-to-cash lineage
MAP-SO-002,Sales Orders,VBAK,KUNNR,salesOrder.customerId,"LTRIM(KUNNR,'0') then validate customer master",Must exist in KNA1,ERR-MAP-001;ERR-VAL-004,Links SO to customer dimension; revenue-by-customer
MAP-SO-003,Sales Orders,VBAP,NETWR+WAERK,salesOrder.netValue,"DECIMAL(NETWR,2); WAERK validated ISO 4217",Range checks; WAERK valid ISO 4217,ERR-MAP-001;ERR-MAP-004;ERR-VAL-002,Order net value (transaction currency) for order-book reporting
MAP-SO-004,Sales Orders,VBEP/VBAP,KWMENG+BMENG,salesOrder.revenueRecognitionStage,IF BMENG=0 ORDERED elif BMENG<KWMENG PARTIALLY_CONFIRMED elif delivered DELIVERED else CONFIRMED,Enum {ORDERED CONFIRMED PARTIALLY_CONFIRMED PARTIALLY_DELIVERED DELIVERED},ERR-MAP-006;ERR-VAL-003,Revenue-recognition stage for order-to-cash progression and forecast
MAP-SO-005,Sales Orders,VBEP,EDATU,salesOrder.requestedDeliveryDate,"FORMAT(EDATU,'YYYY-MM-DD') earliest schedule line",Valid date; >= VBAK.ERDAT,ERR-MAP-002;ERR-VAL-005,Requested delivery date for OTIF service metrics
MAP-FA-001,Fixed Assets,ANLA,BUKRS+ANLN1+ANLN2,fixedAsset.assetId,"CONCAT(BUKRS,'-',LTRIM(ANLN1,'0'),'-',ANLN2)","NOT NULL; regex ^[A-Z0-9]{2,6}-\d{1,12}-\d{1,4}$; unique",ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite asset key (main+sub number); asset-register lineage
MAP-FA-002,Fixed Assets,ANLA,ANLKL,fixedAsset.assetClass,MAP ANLKL to enum {LAND BUILDING PLANT_MACHINERY FURNITURE VEHICLE IT_EQUIPMENT INTANGIBLE},Must map to known asset class,ERR-VAL-003,Asset class governs Schedule II useful-life and depreciation grouping
MAP-FA-003,Fixed Assets,ANLA,TXT50,fixedAsset.description,Direct map; TRIM,NOT NULL; max length 50,ERR-MAP-001;ERR-VAL-001,Asset description for fixed-asset register and audit
MAP-FA-004,Fixed Assets,ANLZ,KOSTL+PRCTR,fixedAsset.costCentre,"LTRIM(KOSTL,'0'); LTRIM(PRCTR,'0') then validate masters",If present must exist in CC/PC dimensions,ERR-MAP-003;ERR-VAL-004,Cost/profit-centre assignment drives depreciation posting allocation
MAP-FA-005,Fixed Assets,ANLB/ANLP/ANLA,AFASL+NAFAZ+AKTIV,fixedAsset.depreciationMethod,"MAP AFASL to method enum {SLM WDV MANUAL NO_DEP}; periodicDepreciation=DECIMAL(NAFAZ,2); capitalizationDate=FORMAT(AKTIV)","Method maps; NAFAZ in range; AKTIV valid or null (AuC)",ERR-MAP-001;ERR-VAL-002;ERR-VAL-003,Depreciation method + periodic charge for asset roll-forward
MAP-BNK-001,Bank Statements,FEBKO/FEBEP,KUKEY+AZNUM+ESNUM,bankStatement.statementLineId,"CONCAT(KUKEY,'-',AZNUM,'-',LPAD(ESNUM,4,'0'))",NOT NULL; unique per statement line,ERR-MAP-001;ERR-VAL-001;ERR-VAL-006,Composite key of a statement line; idempotency and cash lineage
MAP-BNK-002,Bank Statements,FEBKO,KONTS,bankStatement.bankAccount,Normalise to canonical account/IBAN; strip separators UPPERCASE,NOT NULL; passes checksum where applicable,ERR-MAP-001;ERR-VAL-001,Normalised house-bank account across bank formats
MAP-BNK-003,Bank Statements,FEBEP,KWBTR+VGTYP,bankStatement.lineAmount,"DECIMAL(KWBTR,2); direction CREDIT/DEBIT from VGTYP; signed accordingly",Range checks; direction enum {DEBIT CREDIT},ERR-MAP-001;ERR-VAL-002;ERR-VAL-003,Cash movement amount and direction for cash-position analytics
MAP-BNK-004,Bank Statements,FEBEP,VALUT,bankStatement.valueDate,"FORMAT(VALUT,'YYYY-MM-DD')",Valid date,ERR-MAP-002;ERR-VAL-005,Value date drives cash-flow timing and interest reconciliation
MAP-BNK-005,Bank Statements,FEBEP,VBLNR,bankStatement.clearingStatus,IF VBLNR<>'' THEN CLEARED (clearingDocument=VBLNR) ELSE UNMATCHED,Enum {CLEARED UNMATCHED},ERR-VAL-003,Auto-clearing status; unmatched lines to bank-reconciliation exception
